Genero,avg(Precio)
Action;Free to Play;Sports,0.0
Action;Free to Play;Sports;Early Access,0.0
Action;Free to Play;Strategy,0.0
Action;Free to Play;Strategy;Early Access,0.0
Action;Indie,4.951502202404454
Action;Indie;Casual,5.189999878406525
Action;Indie;Early Access,7.440636666749747
Action;Indie;Massively Multiplayer,5.0264285164219995
Action;Indie;Massively Multiplayer;Early Access,6.297857084444591
Action;Indie;Massively Multiplayer;RPG,6.090000182390213
Action;Indie;Massively Multiplayer;RPG;Early Access,11.539999842643738
Action;Indie;Massively Multiplayer;RPG;Simulation;Early Access,9.989999771118164
Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access,14.989999771118164
Action;Indie;Massively Multiplayer;Racing,0.7900000214576721
Action;Indie;Massively Multiplayer;Racing;Simulation;Sports,1.690000057220459
Action;Indie;Massively Multiplayer;Simulation,0.0
Action;Indie;Massively Multiplayer;Simulation;Early Access,8.514999985694885
Action;Indie;Massively Multiplayer;Simulation;Strategy,24.5
Action;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,2.0899999141693115
Action;Indie;Massively Multiplayer;Strategy,6.539999961853027
Action;Indie;Massively Multiplayer;Strategy;Early Access,3.5950000286102295
Action;Indie;RPG,6.6989636699152735
Action;Indie;RPG;Early Access,7.923043454470842
Action;Indie;RPG;Simulation,9.864999890327454
Action;Indie;RPG;Simulation;Early Access,6.722500003874302
Action;Indie;RPG;Simulation;Sports;Early Access,1.690000057220459
Action;Indie;RPG;Simulation;Strategy,11.089999846049718
Action;Indie;RPG;Sports,8.989999771118164
Action;Indie;RPG;Strategy,10.047428459780557
Action;Indie;RPG;Strategy;Early Access,6.341250061988831
Action;Indie;Racing,6.053235224941197
Action;Indie;Racing;Early Access,6.001111023955875
Action;Indie;Racing;RPG;Simulation,8.989999771118164
Action;Indie;Racing;RPG;Simulation;Strategy,5.789999961853027
Action;Indie;Racing;Simulation,7.219999891519547
Action;Indie;Racing;Simulation;Early Access,8.43999993801117
Action;Indie;Racing;Simulation;Sports,9.697333323955537
Action;Indie;Racing;Simulation;Sports;Early Access,14.615000128746033
Action;Indie;Racing;Simulation;Sports;Strategy,14.989999771118164
Action;Indie;Racing;Simulation;Strategy,7.190000057220459
Action;Indie;Racing;Sports,11.260000036822426
Action;Indie;Racing;Sports;Early Access,6.465000033378601
Action;Indie;Racing;Strategy,7.856666564941406
Action;Indie;Simulation,5.169639608344516
Action;Indie;Simulation;Early Access,10.143846064041822
Action;Indie;Simulation;Sports,6.242857155345735
Action;Indie;Simulation;Sports;Early Access,7.759999903348776
Action;Indie;Simulation;Sports;Strategy,7.864999949932098
Action;Indie;Simulation;Strategy,7.275588140768163
Action;Indie;Simulation;Strategy;Early Access,9.247142800262996
Action;Indie;Sports,7.332586151772532
Action;Indie;Sports;Early Access,8.446249850094318
Action;Indie;Sports;Strategy,1.590000033378601
Action;Indie;Sports;Strategy;Early Access,4.539999842643738
Action;Indie;Strategy,6.679082076330691
Action;Indie;Strategy;Early Access,8.836521664391393
Action;Massively Multiplayer,5.7750000556310015
Action;Massively Multiplayer;Early Access,6.293333222468694
